name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Morro Bay,35.37,-120.85,91.0,71,0,8.01,US,1600891494
Meulaboh,4.14,96.13,76.03,88,100,6.31,ID,1600891513
Aquiraz,-3.9,-38.39,84.2,62,0,16.11,BR,1600891514
Cururupu,-1.83,-44.87,82.09,68,12,6.29,BR,1600890953
Odienné,9.51,-7.57,73.9,88,65,0.98,CI,1600891514
Sabla,12.75,4.71,84.29,58,0,9.57,NG,1600891514
Srednekolymsk,67.45,153.68,39.67,88,95,9.17,RU,1600891515
Mount Gambier,-37.83,140.77,41.0,100,40,9.17,AU,1600891515
Kupang,-10.17,123.58,76.66,68,0,4.54,ID,1600891515
Belyy Yar,53.6,91.39,41.0,93,1,4.47,RU,1600891516
Yārāda,17.65,83.27,84.2,83,75,5.82,IN,1600891418
Atikokan,48.76,-91.62,70.95,45,82,6.73,CA,1600891383
Taoudenni,22.68,-3.98,102.72,10,73,6.51,ML,1600891516
Dunedin,-45.87,170.5,55.99,62,81,5.7,NZ,1600891516
Zhenhaicun,24.26,118.09,78.8,78,75,8.95,CN,1600891517
Puerto Carreño,6.19,-67.49,93.2,44,40,4.7,CO,1600891400
Matara,5.95,80.54,76.93,87,48,6.87,LK,1600891517
Faya,18.39,42.45,71.6,19,92,8.05,SA,1600891517
Amahai,-3.33,128.92,75.9,81,61,4.29,ID,1600891518
Nadym,65.53,72.52,38.84,90,96,7.29,RU,1600891518
Maningrida,-12.07,134.27,71.4,85,0,4.76,AU,1600891518
Kostolac,44.71,21.17,71.6,53,79,17.22,RS,1600891518
Kenai,60.55,-151.26,52.0,87,90,9.17,US,1600891338
Farafangana,-22.82,47.83,67.15,82,56,7.11,MG,1600891519
Zhigalovo,54.81,105.16,36.79,82,0,4.07,RU,1600891519
Río Gallegos,-51.62,-69.22,60.8,36,40,9.17,AR,1600891293
Kenora,49.82,-94.43,57.2,76,90,6.93,CA,1600891519
Elliot,-31.33,27.85,56.34,38,0,4.85,ZA,1600891520
Arica,-18.48,-70.3,64.99,68,8,12.75,CL,1600891520
Vuktyl,63.86,57.31,39.7,88,61,10.11,RU,1600891520
Bani Walid,31.76,13.99,85.15,32,26,5.99,LY,1600891520
Swellendam,-34.02,20.44,50.0,93,0,1.12,ZA,1600891521
Araouane,18.9,-3.53,100.44,17,75,6.96,ML,1600891388
Taylorville,39.55,-89.29,75.99,50,40,5.82,US,1600891521
Tawang Town,27.58,91.87,55.53,78,100,1.23,IN,1600891522
Chik,54.99,82.43,46.4,93,90,13.42,RU,1600891522
Batagay-Alyta,67.8,130.41,33.93,87,82,1.03,RU,1600891522
Vestmannaeyjar,63.44,-20.27,40.6,69,0,21.65,IS,1600891522
Tutóia,-2.76,-42.27,80.94,73,45,15.99,BR,1600891523
Shelburne,44.08,-80.2,77.0,50,1,6.93,CA,1600891523
Namatanai,-3.67,152.43,79.09,69,68,3.06,PG,1600891523
Bunbury,-33.33,115.63,54.0,53,0,19.06,AU,1600891523
Adrar,20.5,-10.07,99.21,16,48,7.07,MR,1600891524
Yagodnoye,62.55,149.67,33.94,92,100,3.69,RU,1600891524
Najrān,17.49,44.13,80.6,19,76,3.36,SA,1600891524
Chaman,30.92,66.45,56.43,35,0,1.59,PK,1600891524
Grand Baie,-20.02,57.58,66.99,73,2,4.0,MU,1600891525
Soria,41.67,-2.67,59.0,88,56,6.08,ES,1600891525
Alad,12.62,122.25,82.9,77,100,7.07,PH,1600891525
Port Macquarie,-31.43,152.92,46.0,97,0,9.66,AU,1600891466
Kabinda,-6.13,24.48,73.6,72,0,1.97,CD,1600891526
Laguna Beach,33.54,-117.78,87.01,54,20,6.93,US,1600891263
Benjamin Constant,-4.38,-70.03,91.4,58,40,4.7,BR,1600891526
Yatou,37.15,122.38,62.19,76,73,4.43,CN,1600890936
Narsaq,60.92,-46.05,41.0,25,75,5.82,GL,1600891527
Pozo Colorado,-23.49,-58.8,92.53,31,0,6.44,PY,1600891527
Te Anau,-45.42,167.72,47.05,88,100,5.97,NZ,1600891527
Vanavara,60.34,102.28,41.31,87,54,7.78,RU,1600891528
Morondava,-20.28,44.28,76.06,61,0,12.64,MG,1600891528
Golspie,57.97,-3.98,41.0,88,58,1.99,GB,1600891528
Alice Springs,-23.7,133.88,50.0,37,0,3.36,AU,1600891528
Sobolevo,54.43,31.9,53.51,74,0,7.34,RU,1600891529
Tuatapere,-46.13,167.68,51.01,76,86,5.99,NZ,1600891529
